,chemicalFormula,licenses,names,preparation,references,Axis Length,Axis Length-conditions,Axis Length-units,Bulk Modulus,Bulk Modulus-conditions,Bulk Modulus-maximum,Bulk Modulus-minimum,Bulk Modulus-units,Cell Angle,Cell Angle-conditions,Cell Angle-units,Chemical Family,Commercial Name,Compressive Strength,Compressive Strength-conditions,Compressive Strength-maximum,Compressive Strength-minimum,Compressive Strength-units,Corrosion Activtn Energy,Corrosion Activtn Energy-conditions,Corrosion Activtn Energy-units,Corrosion Rate,Corrosion Rate-conditions,Corrosion Rate-units,Corrosion Species,Corrosion Species-conditions,Creep Activatn Energy,Creep Activatn Energy-conditions,Creep Activatn Energy-units,Creep Rate,Creep Rate Exponent,Creep Rate Exponent-conditions,Creep Rate-conditions,Creep Rate-units,Crystal Cell System,Crystal Cell System-conditions,Crystallinity,Debye Temperature,Debye Temperature-conditions,Debye Temperature-units,Density,Density-conditions,Density-maximum,Density-minimum,Density-units,Diffusion Coefficient,Diffusion Coefficient-conditions,Diffusion Coefficient-units,Dopant,Dopant-conditions,Elastic Modulus,Elastic Modulus-conditions,Elastic Modulus-maximum,Elastic Modulus-minimum,Elastic Modulus-units,Elasticity Tensor,Elasticity Tensor-conditions,Elasticity Tensor-units,Electrical Resistivity Log,Electrical Resistivity Log-conditions,Electrical Resistivity Log-units,Flexural Strength,Flexural Strength-conditions,Flexural Strength-maximum,Flexural Strength-minimum,Flexural Strength-units,Fracture Energy,Fracture Energy-conditions,Fracture Energy-units,Fracture Toughness,Fracture Toughness-conditions,Fracture Toughness-maximum,Fracture Toughness-minimum,Fracture Toughness-units,Friction Coefficient,Friction Coefficient-conditions,Friction Coefficient-maximum,Friction Coefficient-minimum,Grain Size,Grain Size-conditions,Grain Size-maximum,Grain Size-minimum,Grain Size-units,Grinding Rat,Grinding Rat-conditions,Grinding Rat-units,Gruneisen Parameter,Gruneisen Parameter-conditions,Hardness,Hardness-conditions,Hardness-maximum,Hardness-minimum,Hardness-units,Impurity,Impurity-conditions,InChI,Log Wear Coefficient,Log Wear Coefficient-conditions,Log Wear Rate,Log Wear Rate-conditions,Log Wear Rate-units,Manufacturer,Maximum-Use Temperature,Maximum-Use Temperature-conditions,Maximum-Use Temperature-units,Melting Point Temperature,Melting Point Temperature-conditions,Melting Point Temperature-units,Phase,Phase-conditions,Poissons Ratio,Poissons Ratio-conditions,Poissons Ratio-maximum,Poissons Ratio-minimum,Porosity,Porosity-conditions,Porosity-units,Production Form,Relative Atomic Coordinate,Relative Atomic Coordinate-conditions,SMILES,Shear Modulus,Shear Modulus-conditions,Shear Modulus-units,Sintering Aid,Sintering Aid-conditions,Sound Velocity,Sound Velocity-conditions,Sound Velocity-units,Space Group,Space Group-conditions,Specific Heat,Specific Heat-conditions,Specific Heat-units,Tensile Strength,Tensile Strength-conditions,Tensile Strength-maximum,Tensile Strength-minimum,Tensile Strength-units,Thermal Conductivity,Thermal Conductivity-conditions,Thermal Conductivity-units,Thermal Diffusivity,Thermal Diffusivity-conditions,Thermal Diffusivity-units,Thermal Expansion,Thermal Expansion-conditions,Thermal Expansion-units,Thermal Shock Resistance,Thermal Shock Resistance-conditions,Thermal Shock Resistance-units,Weibull Modulus,Weibull Modulus-conditions,Weibull Strength,Weibull Strength-conditions,Weibull Strength-units
1,SiO2,[{'name': 'NIST_SRD-30'}],['Silica'],,"[{'citation': 'Gaseous Corrosion of Ceramics, D.W. Readey, Ceramic Transactions, Vol. 10, pp. 53-80 (1989), edited by R.E. Tressler and M. McNallan, published by American Ceramic Society.'}]",,,,,,,,,,,,Si-O,,,,,,,,,,86,"[{'name': 'Temperature', 'scalars': [{'value': '1550'}, {'value': '1520'}, {'value': '1500'}, {'value': '1490'}, {'value': '1470'}, {'value': '1450'}, {'value': '1430'}, {'value': '1410'}, {'value': '1390'}, {'value': '1370'}, {'value': '1350'}, {'value': '1330'}, {'value': '1290'}, {'value': '1280'}, {'value': '1520'}, {'value': '1510'}, {'value': '1490'}, {'value': '1470'}, {'value': '1450'}, {'value': '1430'}, {'value': '1400'}, {'value': '1390'}, {'value': '1370'}, {'value': '1360'}, {'value': '1330'}, {'value': '1300'}, {'value': '1530'}, {'value': '1500'}, {'value': '1480'}, {'value': '1470'}, {'value': '1450'}, {'value': '1430'}, {'value': '1410'}, {'value': '1390'}], 'units': '$^{\\circ}$C'}, {'name': 'Dew Point', 'scalars': [{'value': '-32'}, {'value': '-32'}, {'value': '-32'}, {'value': '-32'}, {'value': '-32'}, {'value': '-32'}, {'value': '-32'}, {'value': '-32'}, {'value': '-32'}, {'value': '-32'}, {'value': '-32'}, {'value': '-32'}, {'value': '-32'}, {'value': '-32'}, {'value': '-24'}, {'value': '-24'}, {'value': '-24'}, {'value': '-24'}, {'value': '-24'}, {'value': '-24'}, {'value': '-24'}, {'value': '-24'}, {'value': '-24'}, {'value': '-24'}, {'value': '-24'}, {'value': '-24'}, {'value': '13'}, {'value': '13'}, {'value': '13'}, {'value': '13'}, {'value': '13'}, {'value': '13'}, {'value': '13'}, {'value': '13'}], 'units': '$^{\\circ}$C'}]",mg cm$^{-2}$ h$^{-1}$,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3Al2O3.2SiO2.xZrO2.yY2O3,[{'name': 'NIST_SRD-30'}],['Mullite composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'Thermal Diffusivity/Conductivity and Specific Heat of Mullite-Zirconia-Silicon Carbide Whisker Composites, L.M. Russell, K.Y. Donaldson, D.P.H. Hasselman, R. Ruh, and J.W. Adams, Journal of the American Ceramic Society, Vol. 79 10, pp. 2767-2770 (1996), published by American Ceramic Society.'}]",,,,,,,,,,,,Al-Si-O:ZrO,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,"[{'name': 'Measurement Direction', 'scalars': [{'value': 'Parallel'}, {'value': 'Perpendicular'}, {'value': 'Perpendicular'}, {'value': 'Perpendicular'}, {'value': 'Perpendicular'}, {'value': 'Perpendicular'}]}, {'name': 'Temperature', 'scalars': [{'value': '20'}, {'value': '20'}, {'value': '196'}, {'value': '425'}, {'value': '607'}, {'value': '702'}], 'units': '$^{\\circ}$C'}]",W m$^{-1}$ K$^{-1}$,,,,,,,,,,,,,,
3,Al2O3,[{'name': 'NIST_SRD-30'}],['Alumina'],[{'name': 'Hot Pressing'}],"[{'citation': 'Mechanical Properties of Pure, Dense Aluminum Oxide as a Function of Temperature and Grain Size, R.M. Spriggs, J.B. Mitchell, and T. Vasilos, Journal of the American Ceramic Society, Vol. 47 7, pp. 323-327 (1964), published by American Ceramic Society.'}]",,,,,,,,,,,,Al-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,388,"[{'name': 'Temperature', 'scalars': [{'value': '20'}, {'value': '400'}, {'value': '700'}, {'value': '1000'}, {'value': '1200'}, {'value': '1350'}, {'value': '1500'}], 'units': '$^{\\circ}$C'}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Si3N4.xCeO2.ySiC,[{'name': 'NIST_SRD-30'}],['Silicon nitride composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'Effect of Silicon Carbide Whisker and Titanium Carbide Particulate Additions on the Friction and Wear Behavior of Silicon Nitride, C.R. Blanchard and R.A. Page, Journal of the American Ceramic Society, Vol. 73 11, pp. 3442-3452 (1990), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-N:CeO,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CeO2,"[{'name': 'Sintering Aid Mass Fraction', 'scalars': [{'value': '6'}], 'units': '%'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Si3N4,[{'name': 'NIST_SRD-30'}],['Silicon nitride'],[{'name': 'Hot Isostatic Pressing'}],"[{'citation': 'Corrosion of Silicon Nitride Ceramics in Aqueous Hydrogen Chloride Solutions, T. Sato, Y. Tokunaga, T. Endo, M. Shimada, K. Komeya, M. Komatsu, and T. Kameda, Journal of the American Ceramic Society, Vol. 71 12, pp. 1074-1079 (1988), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-N,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,232,"[{'name': 'Sample Number', 'scalars': [{'value': 'SN-2'}]}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ZrO2.xY2O3,[{'name': 'NIST_SRD-30'}],['Zirconia (cubic)'],[{'name': 'Hot Pressing'}],"[{'citation': 'Diffusional Creep and Kinetic Demixing in Yttria-Stabilized Zirconia, D. Dimos and D.L. Kohlstedt, Journal of the American Ceramic Society, Vol. 70 8, pp. 531-536 (1987), published by American Ceramic Society.'}]",,,,,,,,,,,,Zr-O:Y,,,,,,,,,,,,,,,,,,220,,,"[{'name': 'Grain Size', 'scalars': [{'value': '2.6'}, {'value': '2.6'}, {'value': '2.6'}, {'value': '2.6'}, {'value': '2.6'}, {'value': '3.0'}, {'value': '3.5'}, {'value': '3.5'}, {'value': '3.5'}, {'value': '3.5'}, {'value': '3.5'}, {'value': '3.5'}, {'value': '3.5'}, {'value': '3.5'}, {'value': '3.5'}, {'value': '4.2'}, {'value': '4.2'}, {'value': '4.2'}, {'value': '4.2'}, {'value': '5.5'}, {'value': '5.5'}, {'value': '5.5'}, {'value': '5.5'}, {'value': '5.5'}, {'value': '9.5'}, {'value': '9.5'}, {'value': '9.5'}, {'value': '9.5'}, {'value': '9.5'}, {'value': '14.4'}], 'units': '$\\mu$m'}, {'name': 'Temperature', 'scalars': [{'value': '1450'}, {'value': '1450'}, {'value': '1450'}, {'value': '1450'}, {'value': '1450'}, {'value': '1400'}, {'value': '1450'}, {'value': '1450'}, {'value': '1500'}, {'value': '1500'}, {'value': '1500'}, {'value': '1500'}, {'value': '1500'}, {'value': '1500'}, {'value': '1500'}, {'value': '1450'}, {'value': '1500'}, {'value': '1550'}, {'value': '1550'}, {'value': '1450'}, {'value': '1500'}, {'value': '1550'}, {'value': '1600'}, {'value': '1600'}, {'value': '1450'}, {'value': '1500'}, {'value': '1550'}, {'value': '1600'}, {'value': '1600'}, {'value': '1600'}], 'units': '$^{\\circ}$C'}, {'name': 'Applied Stress', 'scalars': [{'value': '8'}, {'value': '12.5'}, {'value': '19'}, {'value': '25'}, {'value': '30'}, {'value': '37.5'}, {'value': '12.5'}, {'value': '25'}, {'value': '8'}, {'value': '12.5'}, {'value': '19'}, {'value': '25'}, {'value': '30'}, {'value': '45'}, {'value': '60'}, {'value': '25'}, {'value': '25'}, {'value': '12.5'}, {'value': '25'}, {'value': '25'}, {'value': '25'}, {'value': '25'}, {'value': '12.5'}, {'value': '25'}, {'value': '25'}, {'value': '25'}, {'value': '25'}, {'value': '12.5'}, {'value': '25'}, {'value': '30'}], 'units': 'MPa'}]",10$^{-9}$ s$^{-1}$,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ZrO2.xY2O3,[{'name': 'NIST_SRD-30'}],['Zirconia (TZP)'],[{'name': 'Sintering'}],"[{'citation': 'Porosity-Dependence of Elastic Moduli and Hardness of 3Y-TZP Ceramics, J. Luo and R. Stevens, Ceramics International, Vol. 25, pp. 281-286 (1999), published by Elsevier Science Ltd..'}]",,,,,,,,,,,,Zr-O:Y,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,219,"[{'name': 'Volume Fraction of Porosity', 'scalars': [{'value': '0.00'}, {'value': '0.003'}, {'value': '0.01'}, {'value': '0.03'}, {'value': '0.056'}, {'value': '0.056'}, {'value': '0.064'}, {'value': '0.07'}, {'value': '0.09'}, {'value': '0.17'}, {'value': '0.31'}, {'value': '0.38'}]}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Si3N4,[{'name': 'NIST_SRD-30'}],['Silicon nitride'],[{'name': 'Sintering'}],"[{'citation': 'Microhardness Load Size Effect in Individual Grains of a Gas Pressure Sintered Silicon Nitride, J. Dusza and M. Steen, Journal of the American Ceramic Society, Vol. 81 11, pp. 3022-3024 (1998), published by American Ceramic Society.'}]",,,,,,,,,,,,Si-N,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,"[{'name': 'Plane', 'scalars': [{'value': 'basal'}, {'value': 'basal'}, {'value': 'basal'}, {'value': 'basal'}, {'value': 'basal'}, {'value': 'basal'}, {'value': 'basal'}, {'value': 'basal'}, {'value': 'basal'}, {'value': 'basal'}, {'value': 'prismatic'}, {'value': 'prismatic'}, {'value': 'prismatic'}, {'value': 'prismatic'}, {'value': 'prismatic'}, {'value': 'prismatic'}, {'value': 'prismatic'}, {'value': 'prismatic'}, {'value': 'prismatic'}, {'value': 'prismatic'}]}, {'name': 'Diagonal Length', 'scalars': [{'value': '0.9'}, {'value': '1.7'}, {'value': '2.4'}, {'value': '3.4'}, {'value': '4.1'}, {'value': '4.8'}, {'value': '5.5'}, {'value': '6.6'}, {'value': '7.5'}, {'value': '8.0'}, {'value': '0.8'}, {'value': '1.1'}, {'value': '1.8'}, {'value': '2.6'}, {'value': '3.2'}, {'value': '3.7'}, {'value': '4.3'}, {'value': '5.2'}, {'value': '6.0'}, {'value': '6.5'}], 'units': '$\\mu$m'}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SiO2,[{'name': 'NIST_SRD-30'}],['Silica (fused)'],,"[{'citation': 'High Temperature-Elastic Moduli and Internal Dilational and Shear Frictions of Fused Quartz, M. Fukuhara and A. Sanpei, Japanese Journal of Applied Physics, Vol. 33, pp. 2890-2893 (1994), published by Publication Office, Japanese Journal of Applied Physics.'}]",,,,,,,,,,,,Si-O,T-1030,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toshiba Ceramics,,,,,,,,,,,,,,,,,,,,,,,,,5.97,"[{'name': 'Mode', 'scalars': [{'value': 'Longitudinal'}, {'value': 'Longitudinal'}, {'value': 'Longitudinal'}, {'value': 'Longitudinal'}, {'value': 'Longitudinal'}, {'value': 'Longitudinal'}, {'value': 'Longitudinal'}, {'value': 'Longitudinal'}, {'value': 'Longitudinal'}, {'value': 'Longitudinal'}, {'value': 'Shear'}, {'value': 'Shear'}, {'value': 'Shear'}, {'value': 'Shear'}, {'value': 'Shear'}, {'value': 'Shear'}, {'value': 'Shear'}, {'value': 'Shear'}, {'value': 'Shear'}, {'value': 'Shear'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}, {'value': '450'}, {'value': '600'}, {'value': '750'}, {'value': '900'}, {'value': '1050'}, {'value': '1200'}, {'value': '1350'}, {'value': '1500'}, {'value': '1650'}, {'value': '300'}, {'value': '450'}, {'value': '600'}, {'value': '750'}, {'value': '900'}, {'value': '1050'}, {'value': '1200'}, {'value': '1350'}, {'value': '1500'}, {'value': '1650'}], 'units': 'K'}]",km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Si3N4.xY2O3.ySrO,[{'name': 'NIST_SRD-30'}],['Silicon nitride'],,"[{'citation': 'Ceramic Technology Project Data Base:  September 1992 Summary Report, B.L.P. Keyes, ORNL Report Number:  ORNL/M-2775, pp. 1-171 (1992), published by Oak Ridge National Laboratory.'}]",,,,,,,,,,,,"Si-N:SrO,Y",GN-10,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,707,"[{'name': 'Temperature', 'scalars': [{'value': '25'}, {'value': '1100'}, {'value': '1100'}, {'value': '1100'}, {'value': '1100'}, {'value': '1200'}, {'value': '1200'}, {'value': '1300'}, {'value': '1300'}, {'value': '1300'}], 'units': '$^{\\circ}$C'}, {'name': 'Applied Stress', 'scalars': [{'value': '-'}, {'value': '0.0333'}, {'value': '0.3333'}, {'value': '3.3333'}, {'value': '33.333'}, {'value': '0.033'}, {'value': '33.333'}, {'value': '0.0333'}, {'value': '0.3333'}, {'value': '3.3333'}], 'units': 'MPa/s'}, {'name': 'Crosshead Speed', 'scalars': [{'value': '0.000083'}, {'value': '-'}, {'value': '-'}, {'value': '-'}, {'value': '-'}, {'value': '-'}, {'value': '-'}, {'value': '-'}, {'value': '-'}, {'value': '-'}], 'units': 'mm/s'}, {'name': 'Specimen Number', 'scalars': [{'value': 'A'}]}]",,,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
