Formula,Elastic Modulus,Temperature
La2Zr2O7,175.0,23
B4C,445.0,23
Si3N4,148.0,650
Si3N4,154.0,676
Si3N4,168.0,700
Si3N4,177.0,750
Si3N4,175.0,800
Si3N4,180.0,853
Si3N4,188.0,903
Si3N4,294.0,20
BaZrO3,181.0,23
MgAl2O4,81.1,23
MgAl2O4,80.3,100
MgAl2O4,79.3,200
MgAl2O4,78.3,300
MgAl2O4,77.7,400
MgAl2O4,77.3,450
MgAl2O4,77.0,500
MgAl2O4,77.0,550
MgAl2O4,77.0,600
MgAl2O4,76.6,650
MgAl2O4,76.0,700
MgAl2O4,74.9,800
MgAl2O4,73.4,900
MgAl2O4,71.5,1000
SiO2,72.7,0
SiO2,73.06,25
SiO2,73.43,50
Al2O3,326.6,20
Al2O3,326.6,67
Al2O3,326.0,105
Al2O3,325.4,152
Al2O3,319.1,210
Al2O3,314.6,242
Al2O3,309.5,305
Al2O3,306.6,342
Al2O3,305.5,363
Al2O3,302.0,384
Al2O3,300.9,422
Al2O3,298.6,443
Al2O3,296.9,459
Al2O3,295.2,480
Al2O3,294.6,497
Al2O3,294.0,518
Al2O3,292.9,539
Al2O3,292.9,564
Al2O3,290.6,581
Al2O3,288.3,597
Al2O3,288.3,618
Al2O3,287.2,643
Al2O3,283.8,664
Al2O3,283.2,681
Al2O3,283.2,702
Al2O3,283.2,723
Al2O3,283.2,749
Al2O3,281.4,782
Al2O3,280.9,803
Al2O3,280.3,828
Al2O3,279.7,866
Al2O3,276.8,946
Al2O3,277.4,997
Al2O3,279.1,964
Al2O3,280.8,867
Al2O3,282.6,804
Al2O3,282.6,765
Al2O3,281.5,702
Al2O3,282.1,659
Al2O3,286.6,601
Al2O3,288.4,559
Al2O3,292.4,500
Al2O3,324.9,24
Al2O3,385.0,300
Al2O3,381.0,400
Al2O3,377.0,500
Al2O3,371.0,600
Al2O3,366.0,700
Al2O3,361.0,800
Al2O3,356.0,900
Al2O3,350.0,1000
Al2O3,345.0,1100
Al2O3,340.0,1200
Al2O3,334.0,1300
Al2O3,330.0,1400
MgO,300.0,296
SiC,427.0,23
Si3N4,300.0,22
Si2N2O,278.0,23
Si3N4,306.0,20
Si3N4,296.0,1000
Si3N4,292.0,1250
Si3N4,291.0,1350
Y2O3,93.9,23
Y2O3,93.2,68
Y2O3,92.5,110
Y2O3,91.8,137
Y2O3,91.0,221
Y2O3,91.0,263
Y2O3,90.2,313
Y2O3,89.5,364
Y2O3,88.1,454
Y2O3,88.0,486
Y2O3,87.3,516
Y2O3,87.3,543
Y2O3,86.6,577
Y2O3,86.6,590
Y2O3,85.8,684
Y2O3,85.8,709
Y2O3,85.1,746
Y2O3,84.3,790
Y2O3,84.3,822
Y2O3,84.2,867
Y2O3,83.5,897
Y2O3,133.6,25
Y2O3,133.5,43
Y2O3,132.1,87
Y2O3,130.8,139
Y2O3,130.0,183
Y2O3,129.3,221
Y2O3,128.6,260
Y2O3,127.9,307
Y2O3,127.9,334
Y2O3,127.1,376
Y2O3,126.5,396
Y2O3,126.4,436
Y2O3,125.0,473
Y2O3,125.0,515
Y2O3,124.3,557
Y2O3,123.6,584
Y2O3,123.5,619
Y2O3,122.1,688
Y2O3,121.4,728
Y2O3,121.4,752
Y2O3,121.3,772
Y2O3,120.0,802
Y2O3,119.3,834
Y2O3,119.2,868
Y2O3,118.5,896
Y2O3,118.5,921
Y2O3,117.8,950
Y2O3,117.1,997
Y2O3,156.7,22
Y2O3,155.3,73
Y2O3,154.6,101
Y2O3,152.5,202
Y2O3,151.1,271
Y2O3,149.7,323
Y2O3,149.0,365
Y2O3,148.9,390
Y2O3,148.2,429
Y2O3,146.8,484
Y2O3,146.1,513
Y2O3,145.4,541
Y2O3,144.6,637
Y2O3,143.9,657
Y2O3,142.5,724
Y2O3,142.5,748
Y2O3,141.1,786
Y2O3,141.1,813
Y2O3,140.4,842
Y2O3,139.7,897
Y2O3,138.9,939
Y2O3,138.2,979
AlN,280.0,23
Si3N4,310.0,20
Si3N4,299.0,1000
Si3N4,295.0,1400
B4C,450.0,23
B4C,446.0,100
B4C,441.0,200
B4C,424.0,500
B4C,414.0,700
B4C,397.0,1000
B4C,386.0,1200
Si3N4,283.0,20
SiC,450.0,293
SiC,434.0,633
SiC,418.0,787
SiC,430.0,1108
SiC,414.0,1322
VB2,265.0,23
Si3N4,320.0,23
SiC,378.0,22
SiC,326.0,1100
SiC,304.0,1200
SiC,195.0,1400
SiC,189.0,1500
B4C,460.0,23
Si3N4,318.0,23
Si3N4,317.0,400
Si3N4,305.0,799
Si3N4,288.0,999
Si3N4,234.0,1201
Si3N4,318.0,23
Si3N4,317.0,400
Si3N4,305.0,799
Si3N4,288.0,999
Si3N4,234.0,1201
Si3N4,185.0,23
B4C,410.0,293
Al2O3,413.0,22
B4C,461.0,23
Gd2O3,148.0,23
Gd2O3,143.5,23
Gd2O3,140.9,23
Gd2O3,121.0,23
Gd2O3,116.6,23
Gd2O3,115.9,23
Gd2O3,92.4,23
Gd2O3,90.0,23
Gd2O3,89.1,23
Gd2O3,89.6,23
Gd2O3,58.2,23
Gd2O3,55.3,23
Gd2O3,55.6,23
Gd2O3,54.9,23
Gd2O3,53.4,23
Gd2O3,53.8,23
Gd2O3,53.0,23
Gd2O3,140.6,68
Gd2O3,138.9,110
Gd2O3,138.7,158
Gd2O3,137.8,201
Gd2O3,136.8,261
Gd2O3,135.8,328
Gd2O3,134.9,383
Gd2O3,133.0,461
Gd2O3,132.8,522
