Formula,Flexural Strength,Temperature
Si2N2O,559.0,23
Si2N2O,631.0,794
Si2N2O,721.0,982
Si2N2O,732.0,1183
Si2N2O,706.0,1389
Si2N2O,741.0,23
Si2N2O,632.0,749
Si2N2O,438.0,987
Si2N2O,208.0,1185
TiB2,400.0,20
TiB2,429.0,500
TiB2,459.0,1000
TiB2,471.0,1200
TiB2,489.0,1500
SiC,397.0,1200
SiC,375.0,1200
SiC,354.0,1300
SiC,361.0,1300
SiC,335.0,1200
SiC,285.0,1300
SiC,209.0,23
Si3N4,544.0,22
Si3N4,523.0,1000
Si3N4,523.0,1400
SiC,402.0,20
SiC,416.0,1000
SiC,435.0,1200
SiC,436.0,1400
Si3N4,900.0,25
Si3N4,450.0,1350
SiC,595.0,22
SiC,385.0,22
SiC,429.0,22
SiC,422.0,22
SiC,651.0,25
SiC,443.0,25
SiC,643.0,25
SiC,707.0,25
SiC,618.0,1000
SiC,546.0,1200
SiC,490.0,1300
SiC,384.0,25
SiC,409.0,1000
SiC,428.0,1150
SiC,364.0,1300
TiB2,385.0,25
TiB2,571.0,800
TiB2,629.0,1000
TiB2,377.0,1200
TiB2,389.0,1400
TiB2,434.0,800
TiB2,457.0,1000
TiB2,411.0,1200
TiB2,446.0,1400
TiB2,441.0,800
TiB2,404.0,1000
TiB2,287.0,1200
TiB2,202.0,1400
MgAl2O4,176.0,23
MgAl2O4,196.0,800
MgAl2O4,187.0,1000
MgAl2O4,163.0,1100
MgAl2O4,168.0,1200
MgAl2O4,159.0,1300
TiB2,240.0,23
TiB2,190.0,23
TiB2,150.0,23
TiB2,250.0,500
TiB2,280.0,1000
TiB2,310.0,1500
TiB2,240.0,2000
Si3N4,1043.0,20
Si3N4,988.0,1000
Si3N4,941.0,1200
Si3N4,490.0,1400
Si3N4,1281.0,20
Si3N4,1189.0,1000
Si3N4,743.0,1300
Si3N4,1043.0,20
Si3N4,988.0,1000
Si3N4,941.0,1200
Si3N4,490.0,1400
Si3N4,1281.0,20
Si3N4,1189.0,1000
Si3N4,743.0,1300
Si2N2O,672.0,23
Si2N2O,773.0,1200
Si2N2O,768.0,1300
Si2N2O,740.0,23
Si2N2O,199.0,1200
AlN,373.0,23
AlN,326.0,400
AlN,286.0,600
AlN,229.0,800
AlN,235.0,1000
AlN,235.0,1100
AlN,241.0,1200
AlN,241.0,1300
AlN,369.0,23
AlN,361.0,23
AlN,384.0,23
AlN,348.0,23
AlN,227.0,23
AlN,169.0,23
AlN,155.0,23
Si3N4,900.0,25
Si3N4,410.0,1350
Si3N4,717.0,22
SiC,940.0,25
SiC,598.0,23
SiC,432.0,205
SiC,431.0,400
SiC,496.0,555
SiC,580.0,801
SiC,495.0,998
SiC,463.0,1201
SiC,389.0,1351
SiC,374.0,1347
SiC,300.0,1490
SiC,323.0,1504
SiC,360.0,23
SiC,320.0,600
SiC,330.0,800
SiC,355.0,1000
SiC,380.0,1200
ZrB2,305.0,23
Si3N4,414.0,26
Si3N4,416.0,805
Si3N4,209.0,1265
Si3N4,424.0,25
Si3N4,276.0,1264
SiC,470.0,22
Si3N4,650.0,25
Si3N4,390.0,1350
Si3N4,365.0,28
Si3N4,366.0,804
Si3N4,152.0,1268
Si3N4,371.0,28
Si3N4,263.0,1263
Si3N4,480.0,23
Si3N4,270.0,820
Si3N4,380.0,1020
Si3N4,255.0,1275
Al2O3,445.0,20
Al2O3,361.0,500
Al2O3,349.0,1000
Al2O3,330.0,1200
Al2O3,228.0,1400
Al2O3,108.0,1500
SiC,450.0,20
SiC,480.0,1000
SiC,490.0,1200
SiC,520.0,1400
SiC,540.0,1690
SiC,375.0,23
SiC,380.0,1400
SiC,348.0,20
SiC,355.0,200
SiC,348.0,400
SiC,362.0,600
SiC,344.0,800
SiC,369.0,1000
SiC,379.0,1200
SiC,403.0,1400
SiC,374.0,22
SiC,209.0,22
SiC,366.0,22
SiC,285.0,22
SiC,380.0,25
SiC,226.0,25
SiC,380.0,25
SiC,407.0,22
SiC,464.0,1000
SiC,471.0,1300
SiC,283.0,25
SiC,345.0,1150
SiC,427.0,1300
Si3N4,590.0,1400
Si3N4,466.0,1000
Si3N4,485.0,1200
Si3N4,498.0,1400
Si3N4,526.0,1000
Si3N4,478.0,1200
Si3N4,459.0,1400
SiC,398.0,25
SiC,359.0,800
SiC,306.0,100
ZrO2,583.0,25
ZrO2,677.0,25
ZrO2,251.0,1050
SiC,204.0,22
SiC,202.0,22
SiC,122.0,22
SiC,200.0,22
SiC,235.0,25
SiC,218.0,25
SiC,254.0,25
SiC,194.0,22
SiC,181.0,25
SiC,212.0,1150
SiC,205.0,1300
MgAl2O4,79.0,20
MgAl2O4,77.0,200
MgAl2O4,62.0,400
MgAl2O4,56.0,600
MgAl2O4,57.0,800
MgAl2O4,50.0,1000
MgAl2O4,47.0,1200
MgAl2O4,48.0,1400
HfB2,350.0,23
HfB2,410.0,650
HfB2,470.0,990
HfB2,370.0,1200
HfB2,260.0,1400
HfB2,350.0,23
SiC,209.0,23
Si3N4,480.0,23
Si3N4,270.0,820
Si3N4,380.0,1020
Si3N4,255.0,1275
ZrO2,526.0,293
ZrO2,860.0,293
ZrO2,640.0,293
ZrO2,450.0,1073
ZrO2,496.0,1273
ZrO2,391.0,1673
Si3N4,589.0,1300
Si3N4,619.0,20
Si3N4,607.0,1300
Al2O3,351.0,20
Al2O3,351.0,600
Al2O3,314.0,800
Al2O3,305.0,1000
Al2O3,222.0,1200
Al2O3,138.0,1400
SiC,375.0,23
SiC,380.0,1400
Si3N4,295.0,23
Si3N4,145.0,1220
SiC,370.0,20
SiC,406.0,1000
SiC,422.0,1200
SiC,105.0,1400
SiC,110.0,1500
SiC,450.0,20
SiC,480.0,1000
SiC,490.0,1200
SiC,520.0,1400
SiC,540.0,1690
Al2O3,500.0,25
Si2N2O,672.0,23
Si2N2O,773.0,1200
Si2N2O,768.0,1400
Si2N2O,740.0,23
Si2N2O,199.0,1200
Si2N2O,709.0,23
Si2N2O,205.0,1200
Si2N2O,576.0,23
Si2N2O,664.0,1200
Si2N2O,578.0,1400
Si2N2O,638.0,23
Si2N2O,247.0,1200
Si2N2O,706.0,23
Si2N2O,301.0,1200
Si2N2O,600.0,23
Si2N2O,686.0,1200
Si2N2O,626.0,1400
Si2N2O,705.0,23
Si2N2O,203.0,1200
Si2N2O,688.0,23
Si2N2O,222.0,1200
Si2N2O,580.0,23
Si2N2O,735.0,1200
Si2N2O,637.0,1400
Si2N2O,681.0,23
Si2N2O,157.0,1200
Si2N2O,655.0,23
Si2N2O,230.0,1200
Si2N2O,481.0,23
Si2N2O,739.0,1200
Si2N2O,586.0,1400
Si2N2O,524.0,23
Si2N2O,672.0,1200
Si2N2O,509.0,1400
Si2N2O,493.0,23
Si2N2O,356.0,1200
Si2N2O,86.0,1400
Si2N2O,613.0,23
Si2N2O,445.0,1200
Si2N2O,82.0,1400
Si2N2O,645.0,23
Si2N2O,386.0,1200
Si2N2O,105.0,1400
Si2N2O,581.0,23
Si2N2O,745.0,1200
Si2N2O,565.0,1400
Si2N2O,694.0,23
Si2N2O,473.0,1200
Si2N2O,314.0,1400
Si2N2O,684.0,23
Si2N2O,653.0,23
Si2N2O,384.0,1200
Si2N2O,245.0,1400
Si2N2O,480.0,23
Si2N2O,461.0,1200
Si2N2O,312.0,1400
Si2N2O,542.0,23
Si2N2O,592.0,1200
Si2N2O,424.0,1400
Si2N2O,492.0,23
Si2N2O,662.0,1200
Si2N2O,544.0,1400
Si2N2O,542.0,23
Si2N2O,713.0,1200
Si2N2O,487.0,23
Si2N2O,619.0,1200
Si2N2O,528.0,23
Si2N2O,704.0,1200
Si2N2O,434.0,23
Si2N2O,688.0,1200
Si2N2O,740.0,23
Si2N2O,545.0,1200
Si2N2O,359.0,1400
Si2N2O,597.0,23
Si2N2O,598.0,1200
Si2N2O,482.0,1400
Si2N2O,425.0,23
Si2N2O,564.0,1200
Si2N2O,578.0,1400
Si2N2O,474.0,23
Si2N2O,678.0,1200
Si2N2O,632.0,1400
Si2N2O,624.0,23
Si2N2O,554.0,1200
Si2N2O,489.0,1400
Si3N4,988.0,23
Si3N4,488.0,1000
Si3N4,403.0,1200
Si3N4,146.0,1400
Si3N4,766.0,20
Si3N4,566.0,1000
Si3N4,529.0,1200
Si3N4,200.0,1400
AlN,391.0,25
AlN,375.0,700
AlN,267.0,1050
Si3N4,925.0,20
Si3N4,676.0,1250
Si3N4,654.0,1300
Si3N4,747.0,1350
Si3N4,1093.0,20
Si3N4,757.0,1250
Si3N4,785.0,1350
Si3N4,725.0,25
Si3N4,350.0,1350
SiC,864.0,20
SiC,625.0,1000
SiC,898.0,20
SiC,581.0,1000
Al2O3,282.0,25
Al2O3,172.0,1000
Al2O3,551.0,25
Al2O3,413.0,1000
Al2O3,379.0,25
Al2O3,216.0,293
Al2O3,167.0,293
Al2O3,152.0,293
Al2O3,149.0,293
Al2O3,167.0,1873
Al2O3,108.0,293
Al2O3,128.0,293
Al2O3,88.0,293
Al2O3,265.0,293
Al2O3,294.0,293
Al2O3,20.0,1873
Al2O3,167.0,293
Al2O3,157.0,293
Al2O3,142.0,293
Al2O3,15.0,1873
Al2O3,108.0,293
Al2O3,206.0,293
Al2O3,147.0,293
SiC,420.0,20
SiC,420.0,1000
SiC,450.0,1200
SiC,360.0,1350
SiC,200.0,1400
ZrO2,621.0,25
ZrO2,566.0,25
ZrO2,448.0,250
ZrO2,270.0,800
ZrO2,248.0,1050
ZrO2,254.0,1050
ZrO2,615.0,25
ZrO2,546.0,25
ZrO2,460.0,250
ZrO2,363.0,500
ZrO2,249.0,800
ZrO2,247.0,1050
ZrO2,254.0,1050
ZrO2,622.0,25
ZrO2,564.0,25
ZrO2,490.0,250
ZrO2,356.0,500
ZrO2,214.0,800
ZrO2,679.0,25
ZrO2,638.0,25
ZrO2,540.0,250
ZrO2,525.0,250
ZrO2,299.0,800
ZrO2,282.0,800
ZrO2,248.0,1050
ZrO2,225.0,1050
Si3N4,531.0,23
Si3N4,365.0,28
Si3N4,366.0,804
Si3N4,152.0,1268
Si3N4,371.0,28
Si3N4,263.0,1263
Si3N4,925.0,20
Si3N4,676.0,1250
Si3N4,654.0,1300
Si3N4,747.0,1350
Si3N4,1093.0,20
Si3N4,757.0,1250
Si3N4,785.0,1350
Si3N4,1043.0,20
Si3N4,988.0,1000
Si3N4,941.0,1200
Si3N4,490.0,1400
Si3N4,1281.0,20
Si3N4,1189.0,1000
Si3N4,743.0,1300
Si3N4,1043.0,20
Si3N4,988.0,1000
Si3N4,941.0,1200
Si3N4,490.0,1400
Si3N4,1281.0,20
Si3N4,1189.0,1000
Si3N4,743.0,1300
Si3N4,544.0,22
Si3N4,523.0,1000
Si3N4,523.0,1400
SiC,500.0,23
SiC,300.0,1400
Si3N4,538.0,20
Si3N4,453.0,1450
MgAl2O4,176.0,23
MgAl2O4,196.0,800
MgAl2O4,187.0,1000
MgAl2O4,163.0,1100
MgAl2O4,168.0,1200
MgAl2O4,159.0,1300
Si3N4,790.0,20
Si3N4,860.0,800
Si3N4,655.0,900
Si3N4,440.0,1000
Si3N4,395.0,1100
Si3N4,345.0,1200
Si3N4,599.0,20
Si3N4,460.0,20
Si3N4,358.0,20
Si3N4,323.0,1200
Si3N4,323.0,1200
Si3N4,336.0,1200
Si3N4,655.0,20
Si3N4,549.0,20
Si3N4,424.0,20
Si3N4,413.0,1000
Si3N4,331.0,1200
Si3N4,650.0,25
Si3N4,350.0,1350
SiC,537.0,1000
SiC,517.0,1200
SiC,582.0,1400
SiC,454.0,20
SiC,658.0,1000
SiC,496.0,1200
SiC,511.0,1400
Si3N4,480.0,23
Si3N4,270.0,820
Si3N4,380.0,1020
Si3N4,255.0,1275
Si3N4,900.0,25
Si3N4,450.0,1350
HfB2,350.0,23
HfB2,410.0,650
HfB2,470.0,990
HfB2,370.0,1200
HfB2,260.0,1400
Si3N4,455.0,20
Si3N4,478.0,800
Si3N4,488.0,900
Si3N4,662.0,1000
Si3N4,267.0,1200
Si3N4,222.0,1300
AlN,302.0,23
SiC,378.0,1000
SiC,395.0,1200
SiC,372.0,1400
SiC,405.0,20
SiC,375.0,1000
SiC,384.0,1200
SiC,352.0,1400
Si3N4,466.0,1000
Si3N4,485.0,1200
Si3N4,498.0,1400
Si3N4,526.0,1000
Si3N4,478.0,1200
Si3N4,459.0,1400
SiC,310.0,23
SiC,190.0,1400
SiC,350.0,22
SiC,370.0,22
SiC,410.0,22
SiC,485.0,22
SiC,555.0,22
SiC,475.0,1200
SiC,325.0,1400
SiC,265.0,22
SiC,490.0,22
SiC,520.0,22
SiC,515.0,22
SiC,575.0,22
SiC,490.0,1200
SiC,450.0,1400
C,15600.0,1000
C,15000.0,1175
C,9200.0,1300
C,6000.0,1525
Si3N4,415.0,23
Si3N4,70.0,1400
SiC,431.0,20
SiC,350.0,22
SiC,370.0,22
SiC,410.0,22
SiC,485.0,22
SiC,555.0,22
SiC,475.0,1200
SiC,325.0,1400
SiC,265.0,22
SiC,490.0,22
SiC,520.0,22
SiC,515.0,22
SiC,575.0,22
SiC,490.0,1200
SiC,450.0,1400
SiC,310.0,23
SiC,190.0,1400
Al2O3,500.0,25
SiC,204.0,22
SiC,202.0,22
SiC,122.0,22
SiC,200.0,22
SiC,235.0,25
