Formula,Fracture Toughness,Temperature
Si3N4,3.8,25
Si3N4,5.4,1000
Si3N4,4.3,1200
Si3N4,6.1,1220
Si3N4,6.2,1250
Si3N4,7.9,1280
Si3N4,6.5,1300
Si3N4,5.0,1400
Si3N4,5.3,1500
Si3N4,6.4,23
Si3N4,6.0,1000
Si3N4,4.0,1200
Si3N4,4.7,1250
Si3N4,7.1,1300
Si3N4,6.2,1400
Si3N4,6.8,22
Si3N4,6.8,800
Si3N4,5.4,1000
Si3N4,5.2,1260
SiC,3.5,23
Si3N4,7.0,22
Y3Al5O12,1.6,23
Y3Al5O12,1.8,23
Y3Al5O12,2.0,23
Y3Al5O12,2.5,23
Y3Al5O12,3.0,23
Y3Al5O12,2.2,1200
Y3Al5O12,2.4,1200
Y3Al5O12,2.7,1200
Y3Al5O12,2.9,1200
Y3Al5O12,3.0,1300
Y3Al5O12,3.3,1300
Y3Al5O12,3.1,1400
Y3Al5O12,3.4,1400
Y3Al5O12,3.6,1400
Y3Al5O12,3.7,1400
Y3Al5O12,3.9,1400
Y3Al5O12,4.1,1400
Y3Al5O12,4.0,1600
Y3Al5O12,4.2,1600
Y3Al5O12,4.6,1600
Y3Al5O12,1.0,23
Y3Al5O12,1.1,23
Y3Al5O12,1.5,23
Y3Al5O12,2.1,23
Y3Al5O12,2.5,23
Y3Al5O12,1.9,800
Y3Al5O12,2.1,800
Y3Al5O12,2.6,800
Y3Al5O12,2.9,1200
Y3Al5O12,3.3,1200
Y3Al5O12,3.6,1200
Y3Al5O12,4.0,1200
Y3Al5O12,4.8,1400
Y3Al5O12,5.1,1400
Y3Al5O12,5.8,1400
Y3Al5O12,7.0,1600
Y3Al5O12,8.5,1600
Y3Al5O12,9.7,1600
Si3N4,7.0,23
Si3N4,7.0,810
Si3N4,5.2,1000
Si3N4,5.1,1270
Si3N4,4.0,23
MgO,1.8,23
MgO,1.6,23
MgO,1.3,23
MgO,2.0,23
MgO,1.9,23
MgO,2.0,23
MgO,3.3,1000
MgO,2.6,1000
MgO,2.8,1000
MgO,2.7,1000
MgO,1.8,1000
MgO,4.2,1200
MgO,2.9,1200
MgO,2.3,1200
C,6.0,23
TiB2,6.0,23
SiC,2.6,20
SiC,3.4,20
SiC,3.1,1400
Y3Al5O12,1.1,23
Y3Al5O12,1.2,23
Y3Al5O12,1.4,23
Y3Al5O12,1.6,23
Y3Al5O12,1.7,23
Y3Al5O12,2.3,23
Y3Al5O12,2.7,23
Y3Al5O12,1.9,800
Y3Al5O12,2.2,800
Y3Al5O12,2.7,800
Y3Al5O12,3.0,1200
Y3Al5O12,3.2,1200
Y3Al5O12,3.7,1200
Y3Al5O12,3.9,1200
Y3Al5O12,4.8,1400
Y3Al5O12,5.0,1400
Y3Al5O12,5.8,1400
Y3Al5O12,6.9,1600
Y3Al5O12,8.3,1600
Y3Al5O12,9.5,1600
SiC,5.3,20
SiC,6.7,1000
SiC,6.8,1300
SiC,8.8,1600
Y3Al5O12,1.02,23
Y3Al5O12,1.06,23
Y3Al5O12,1.09,23
Y3Al5O12,1.21,1300
Y3Al5O12,0.97,1500
Y3Al5O12,1.83,1600
Y3Al5O12,1.13,1400
Y3Al5O12,1.72,1600
Y3Al5O12,1.79,1650
Y3Al5O12,1.57,23
Y3Al5O12,1.66,1400
Y3Al5O12,1.5,1500
Y3Al5O12,1.51,1700
Si3N4,6.8,23
Al2O3,3.5,23
Si3N4,7.11,23
Si3N4,5.0,23
SiC,2.0,23
Si3N4,5.6,22
ZrO2,7.6,23
Si3N4,4.0,23
Si3N4,5.0,1000
Si3N4,4.3,1210
B4C,3.2,20
B4C,3.4,600
B4C,3.1,900
B4C,3.4,1200
Al2O3,3.5,20
Al2O3,3.0,500
Al2O3,2.7,1000
Al2O3,2.6,1200
Al2O3,2.5,1400
Al2O3,2.5,1500
Al2O3,3.12,25
SiC,2.3,22
Si3N4,6.2,23
SiC,4.6,22
MgAl2O4,1.2,20
MgAl2O4,1.18,200
MgAl2O4,1.1,400
MgAl2O4,1.02,600
MgAl2O4,0.98,800
MgAl2O4,1.15,1000
MgAl2O4,1.73,1200
MgAl2O4,2.69,1400
MgAl2O4,1.54,20
MgAl2O4,1.55,200
MgAl2O4,1.53,400
MgAl2O4,1.51,600
MgAl2O4,1.49,800
MgAl2O4,1.61,1000
MgAl2O4,2.11,1200
MgAl2O4,2.66,1400
MgAl2O4,1.89,20
MgAl2O4,1.87,200
MgAl2O4,1.84,400
MgAl2O4,1.8,600
MgAl2O4,1.77,800
MgAl2O4,1.75,1000
MgAl2O4,1.91,1200
MgAl2O4,2.43,1400
Si3N4,6.2,23
SiC,4.6,23
SiC,4.6,22
Si3N4,5.6,22
SiC,2.91,20
SiC,2.64,200
SiC,2.88,400
SiC,3.19,600
SiC,2.71,800
SiC,2.76,1000
SiC,3.37,1200
SiC,2.91,1400
SiC,3.88,20
SiC,3.74,200
SiC,3.54,400
SiC,4.04,600
SiC,4.27,800
SiC,4.19,1000
SiC,3.95,1200
SiC,4.73,1400
SiC,3.01,20
SiC,3.14,200
SiC,3.02,400
SiC,3.15,600
SiC,3.36,800
SiC,3.25,1000
SiC,3.28,1200
SiC,2.93,1400
Si3N4,5.6,23
Si3N4,3.8,25
Si3N4,5.5,23
SiC,4.0,23
Si3N4,6.0,25
Si3N4,6.1,1000
Si3N4,5.3,1100
Si3N4,4.6,1200
Si3N4,4.3,1300
Si3N4,5.0,1350
Si3N4,9.7,1400
Si3N4,7.9,1450
Si3N4,5.8,1500
Si3N4,4.4,1550
Si3N4,5.1,1350
Si3N4,7.0,1400
Si3N4,9.0,1450
Si3N4,7.4,1500
Si3N4,5.1,1550
Al2O3,3.5,20
Al2O3,3.7,20
Al2O3,3.3,20
Al2O3,3.1,20
Al2O3,2.9,20
Al2O3,2.9,500
Al2O3,2.8,500
Al2O3,2.5,500
Al2O3,2.3,500
Al2O3,2.5,500
Al2O3,2.3,800
Al2O3,2.5,800
Al2O3,1.8,800
Al2O3,1.6,800
Al2O3,1.6,800
B4C,3.2,20
B4C,3.4,600
B4C,3.1,900
B4C,3.4,1200
Si3N4,3.12,22
Si3N4,3.18,200
Si3N4,2.85,500
Si3N4,2.83,800
Si3N4,2.59,1000
Si3N4,2.61,1100
Si3N4,2.58,1200
Si3N4,6.8,23
SiC,2.6,25
Si3N4,5.2,23
Si3N4,4.0,910
Si3N4,3.0,1000
Si3N4,2.6,1210
SiC,2.3,23
Y3Al5O12,1.7,25
Y3Al5O12,2.3,1400
Y3Al5O12,3.8,1600
Y3Al5O12,1.5,1600
TiB2,6.2,20
Al2O3,3.5,23
Si3N4,7.0,23
Si3N4,5.0,23
Al2O3,2.52,25
Al2O3,3.0,25
Al2O3,3.15,25
Al2O3,3.1,25
Al2O3,3.33,25
Al2O3,3.53,25
Al2O3,3.76,25
Al2O3,3.8,25
Al2O3,2.28,400
Al2O3,2.79,400
Al2O3,3.09,400
Al2O3,2.16,700
Al2O3,2.7,700
Al2O3,2.89,700
Al2O3,2.16,1000
Al2O3,2.27,1000
Al2O3,2.78,1000
Al2O3,1.96,1300
Al2O3,2.15,1300
Al2O3,2.5,1300
C,7.5,1190
C,8.4,1200
C,7.1,1200
C,7.0,1100
MgO,1.8,23
MgO,1.6,23
MgO,1.3,23
MgO,2.0,23
MgO,1.9,23
MgO,2.0,23
MgO,3.3,1000
MgO,2.6,1000
MgO,2.8,1000
MgO,2.7,1000
MgO,1.8,1000
MgO,4.2,1200
MgO,2.9,1200
MgO,2.3,1200
SiC,2.3,22
SiC,3.5,23
SiC,2.6,20
SiC,3.4,20
SiC,3.1,1400
Y3Al5O12,1.6,23
Y3Al5O12,1.8,23
Y3Al5O12,2.0,23
Y3Al5O12,2.5,23
Y3Al5O12,3.0,23
Y3Al5O12,2.2,1200
Y3Al5O12,2.4,1200
Y3Al5O12,2.7,1200
Y3Al5O12,2.9,1200
Y3Al5O12,3.0,1300
Y3Al5O12,3.3,1300
Y3Al5O12,3.1,1400
Y3Al5O12,3.4,1400
Y3Al5O12,3.6,1400
Y3Al5O12,3.7,1400
Y3Al5O12,3.9,1400
Y3Al5O12,4.1,1400
